alloc,,clusters,,tasksAlloc,,file
1,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_24, at3_25, at3_7, at3_4, at3_19, at3_22], r3=[at4_15, at4_18, at4_9, at4_27, at4_12, at3_28, at3_10, at3_13, at3_16, at2_11, at2_14, at2_20, at2_23, at2_26, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at2_17, at2_8, at2_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1.xml
2,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_25, at3_28, at3_13, at3_16, at3_22, at2_11, at2_14, at2_17], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at3_7, at3_4, at3_10, at3_19, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation2.xml
3,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_21, at4_24, at4_27, at3_25, at3_7, at3_4, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_18, at4_12, at3_28, at3_10, at3_13, at3_16, at3_19, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation3.xml
4,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_9, at4_3, at4_21, at4_24, at4_27, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29], r3=[at4_12, at3_13, at3_22, at2_11, at2_14, at2_17], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation4.xml
5,,[[r2, r1], [r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_21, at4_24, at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_22, at2_29], r3=[at4_12, at3_13, at2_14], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at4_18, at4_9, at3_19, at2_11, at2_17, at2_8, at2_5, at2_20, at2_23, at2_26]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation5.xml
6,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3, at3_4, at3_10, at2_11], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at2_14], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at3_25, at3_28, at3_7, at3_16, at3_19, at3_22, at2_17, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation6.xml
7,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_7, at3_4, at3_10, at3_16, at3_19, at2_11, at2_17, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_25, at3_28, at3_13, at3_22, at2_14], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation7.xml
8,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at2_11, at2_17, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_16, at3_19, at3_22, at2_14], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation8.xml
9,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_15, at4_9, at4_3, at4_21, at4_24, at4_27, at3_25, at3_28, at3_16, at3_19, at3_22, at2_17, at2_20, at2_26, at2_29], r3=[at4_12, at3_10, at3_13, at2_11, at2_14, at2_23], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at4_18, at4_6, at3_7, at3_4, at2_8, at2_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation9.xml
10,,[[r2, r1], [r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at4_21, at4_24, at4_27, at3_16, at2_20], r3=[at4_12, at3_13, at2_14], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at4_15, at3_25, at3_28, at3_7, at3_4, at3_10, at3_19, at3_22, at2_11, at2_17, at2_8, at2_5, at2_23, at2_26, at2_29]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation10.xml
11,,[[r2, r1], [r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_9, at4_3, at4_21, at4_24, at3_22, at2_11], r3=[at4_12, at3_13, at2_14], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at4_27, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_17, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation11.xml
12,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation12.xml
13,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at3_25, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation13.xml
