alloc,,robots,,perm,,reason,,time
1,,[r3, r4, r5, r1],,[1, 2, 2, 2542],,noPlanSynthesised,,2412
1,,[r3, r4, r5, r1],,[1, 2, 1, 3772],,noPlanSynthesised,,2817
1,,[r3, r4, r5, r1],,[1, 1, 1, 2344],,noPlanSynthesised,,3317
1,,[r3, r4, r5, r1],,[1, 2, 1, 3929],,noPlanSynthesised,,3740
1,,[r3, r4, r5, r1],,[1, 2, 2, 1064],,noPlanSynthesised,,4521
1,,[r3, r4, r5, r1],,[1, 1, 2, 930],,noPlanSynthesised,,4976
1,,[r3, r4, r5, r1],,[1, 2, 1, 873],,noPlanSynthesised,,5365
1,,[r3, r4, r5, r1],,[1, 1, 2, 2758],,noPlanSynthesised,,5732
1,,[r3, r4, r5, r1],,[1, 1, 1, 2889],,noPlanSynthesised,,6095
1,,[r3, r4, r5, r1],,[1, 2, 1, 3329],,noPlanSynthesised,,6391
1,,[r3, r4, r5, r1],,[1, 2, 2, 2390],,noPlanSynthesised,,6703
1,,[r3, r4, r5, r1],,[1, 1, 1, 3588],,noPlanSynthesised,,7032
1,,[r3, r4, r5, r1],,[1, 1, 2, 2210],,noPlanSynthesised,,7327
1,,[r3, r4, r5, r1],,[1, 2, 2, 3792],,noPlanSynthesised,,7586
1,,[r3, r4, r5, r1],,[1, 1, 1, 624],,noPlanSynthesised,,7968
1,,[r3, r4, r5, r1],,[1, 2, 1, 2506],,noPlanSynthesised,,8232
1,,[r3, r4, r5, r1],,[1, 1, 1, 3427],,noPlanSynthesised,,8594
1,,[r3, r4, r5, r1],,[1, 2, 1, 185],,noPlanSynthesised,,8879
1,,[r3, r4, r5, r1],,[1, 1, 2, 1843],,noPlanSynthesised,,11031
1,,[r3, r4, r5, r1],,[1, 2, 1, 989],,noPlanSynthesised,,11325
1,,[r3, r4, r5, r1],,[1, 2, 2, 3347],,noPlanSynthesised,,11672
1,,[r3, r4, r5, r1],,[1, 1, 1, 231],,noPlanSynthesised,,12007
1,,[r3, r4, r5, r1],,[1, 2, 2, 4389],,noPlanSynthesised,,12460
1,,[r3, r4, r5, r1],,[1, 1, 2, 4208],,noPlanSynthesised,,12830
1,,[r3, r4, r5, r1],,[1, 1, 1, 456],,noPlanSynthesised,,13189
1,,[r3, r4, r5, r1],,[1, 2, 2, 4135],,noPlanSynthesised,,13486
1,,[r3, r4, r5, r1],,[1, 1, 1, 4234],,noPlanSynthesised,,13867
1,,[r3, r4, r5, r1],,[1, 2, 2, 1981],,noPlanSynthesised,,14369
1,,[r3, r4, r5, r1],,[1, 2, 1, 3103],,noPlanSynthesised,,14711
1,,[r3, r4, r5, r1],,[1, 2, 2, 3509],,noPlanSynthesised,,15031
1,,[r3, r4, r5, r1],,[1, 2, 2, 3354],,noPlanSynthesised,,15314
1,,[r3, r4, r5, r1],,[1, 1, 2, 2196],,noPlanSynthesised,,15689
1,,[r3, r4, r5, r1],,[1, 2, 2, 4017],,noPlanSynthesised,,17402
1,,[r3, r4, r5, r1],,[1, 1, 1, 3022],,noPlanSynthesised,,17701
1,,[r3, r4, r5, r1],,[1, 2, 1, 1270],,noPlanSynthesised,,17997
1,,[r3, r4, r5, r1],,[1, 2, 1, 297],,noPlanSynthesised,,18302
1,,[r3, r4, r5, r1],,[1, 1, 2, 142],,noPlanSynthesised,,21674
1,,[r3, r4, r5, r1],,[1, 2, 1, 467],,noPlanSynthesised,,21963
1,,[r3, r4, r5, r1],,[1, 2, 2, 3180],,noPlanSynthesised,,22226
1,,[r3, r4, r5, r1],,[1, 2, 1, 4231],,noPlanSynthesised,,22498
1,,[r3, r4, r5, r1],,[1, 1, 1, 3282],,noPlanSynthesised,,22815
1,,[r3, r4, r5, r1],,[1, 1, 2, 2283],,noPlanSynthesised,,23155
1,,[r3, r4, r5, r1],,[1, 2, 2, 4339],,noPlanSynthesised,,23461
1,,[r3, r4, r5, r1],,[1, 1, 2, 3794],,noPlanSynthesised,,23729
1,,[r3, r4, r5, r1],,[1, 1, 1, 1412],,noPlanSynthesised,,24060
1,,[r3, r4, r5, r1],,[1, 1, 2, 3328],,noPlanSynthesised,,24362
1,,[r3, r4, r5, r1],,[1, 2, 1, 2649],,noPlanSynthesised,,24675
1,,[r3, r4, r5, r1],,[1, 2, 2, 5037],,noPlanSynthesised,,24992
1,,[r3, r4, r5, r1],,[1, 2, 2, 2379],,noPlanSynthesised,,25332
1,,[r3, r4, r5, r1],,[1, 2, 2, 417],,noPlanSynthesised,,25689
1,,[r3, r4, r5, r1],,[1, 2, 2, 1572],,noPlanSynthesised,,26060
1,,[r3, r4, r5, r1],,[1, 1, 2, 4345],,noPlanSynthesised,,26425
1,,[r3, r4, r5, r1],,[1, 2, 1, 3008],,noPlanSynthesised,,26769
1,,[r3, r4, r5, r1],,[1, 1, 2, 2464],,noPlanSynthesised,,27125
1,,[r3, r4, r5, r1],,[1, 2, 1, 797],,noPlanSynthesised,,27454
1,,[r3, r4, r5, r1],,[1, 2, 1, 1878],,noPlanSynthesised,,27770
1,,[r3, r4, r5, r1],,[1, 2, 2, 2619],,noPlanSynthesised,,28081
1,,[r3, r4, r5, r1],,[1, 1, 1, 4844],,noPlanSynthesised,,28462
1,,[r3, r4, r5, r1],,[1, 2, 1, 237],,noPlanSynthesised,,28773
1,,[r3, r4, r5, r1],,[1, 2, 1, 1558],,noPlanSynthesised,,29053
1,,[r3, r4, r5, r1],,[1, 2, 1, 2422],,noPlanSynthesised,,29337
1,,[r3, r4, r5, r1],,[1, 1, 2, 3543],,noPlanSynthesised,,29683
1,,[r3, r4, r5, r1],,[1, 2, 2, 3708],,noPlanSynthesised,,29994
1,,[r3, r4, r5, r1],,[1, 1, 2, 2232],,noPlanSynthesised,,31067
1,,[r3, r4, r5, r1],,[1, 1, 1, 528],,noPlanSynthesised,,31404
1,,[r3, r4, r5, r1],,[1, 1, 2, 2628],,noPlanSynthesised,,31700
1,,[r3, r4, r5, r1],,[1, 2, 1, 3066],,noPlanSynthesised,,33270
1,,[r3, r4, r5, r1],,[1, 1, 2, 3656],,noPlanSynthesised,,33564
1,,[r3, r4, r5, r1],,[1, 1, 1, 4491],,noPlanSynthesised,,33923
1,,[r3, r4, r5, r1],,[1, 1, 2, 196],,noPlanSynthesised,,34243
1,,[r3, r4, r5, r1],,[1, 2, 2, 4533],,noPlanSynthesised,,34545
1,,[r3, r4, r5, r1],,[1, 2, 1, 1201],,noPlanSynthesised,,34811
1,,[r3, r4, r5, r1],,[1, 1, 2, 219],,noPlanSynthesised,,35108
1,,[r3, r4, r5, r1],,[1, 2, 1, 4784],,noPlanSynthesised,,35405
1,,[r3, r4, r5, r1],,[1, 2, 2, 3409],,noPlanSynthesised,,35955
1,,[r3, r4, r5, r1],,[1, 2, 2, 41],,noPlanSynthesised,,36230
1,,[r3, r4, r5, r1],,[1, 1, 1, 461],,noPlanSynthesised,,36532
1,,[r3, r4, r5, r1],,[1, 1, 1, 1345],,noPlanSynthesised,,36805
1,,[r3, r4, r5, r1],,[1, 1, 1, 503],,noPlanSynthesised,,37083
1,,[r3, r4, r5, r1],,[1, 1, 2, 2994],,noPlanSynthesised,,37371
1,,[r3, r4, r5, r1],,[1, 1, 1, 3865],,noPlanSynthesised,,37732
1,,[r3, r4, r5, r1],,[1, 1, 2, 3159],,noPlanSynthesised,,38110
1,,[r3, r4, r5, r1],,[1, 2, 1, 3118],,noPlanSynthesised,,38383
1,,[r3, r4, r5, r1],,[1, 1, 2, 3788],,noPlanSynthesised,,38659
1,,[r3, r4, r5, r1],,[1, 1, 2, 146],,noPlanSynthesised,,42001
1,,[r3, r4, r5, r1],,[1, 1, 1, 4577],,noPlanSynthesised,,42298
1,,[r3, r4, r5, r1],,[1, 1, 2, 4344],,noPlanSynthesised,,42575
1,,[r3, r4, r5, r1],,[1, 2, 1, 4591],,noPlanSynthesised,,42850
1,,[r3, r4, r5, r1],,[1, 1, 2, 1058],,noPlanSynthesised,,43166
1,,[r3, r4, r5, r1],,[1, 1, 2, 3254],,noPlanSynthesised,,43444
1,,[r3, r4, r5, r1],,[1, 2, 1, 2027],,noPlanSynthesised,,45128
1,,[r3, r4, r5, r1],,[1, 2, 2, 554],,noPlanSynthesised,,45470
1,,[r3, r4, r5, r1],,[1, 2, 1, 3495],,noPlanSynthesised,,45827
1,,[r3, r4, r5, r1],,[1, 1, 1, 231],,noPlanSynthesised,,46238
1,,[r3, r4, r5, r1],,[1, 2, 1, 83],,noPlanSynthesised,,46634
1,,[r3, r4, r5, r1],,[1, 1, 2, 3800],,noPlanSynthesised,,46975
1,,[r3, r4, r5, r1],,[1, 1, 1, 4332],,noPlanSynthesised,,47308
1,,[r3, r4, r5, r1],,[1, 1, 2, 2571],,noPlanSynthesised,,47590
1,,[r3, r4, r5, r1],,[1, 2, 1, 1103],,noPlanSynthesised,,47855
1,,[r3, r4, r5, r1],,[1, 1, 1, 1566],,noPlanSynthesised,,48239
1,,[r3, r4, r5, r1],,[1, 1, 2, 4365],,noPlanSynthesised,,48517
1,,[r3, r4, r5, r1],,[1, 2, 2, 4674],,noPlanSynthesised,,48773
1,,[r3, r4, r5, r1],,[1, 2, 1, 3576],,noPlanSynthesised,,49045
1,,[r3, r4, r5, r1],,[1, 2, 1, 876],,noPlanSynthesised,,49258
1,,[r3, r4, r5, r1],,[1, 1, 1, 3092],,noPlanSynthesised,,49607
1,,[r3, r4, r5, r1],,[1, 1, 2, 2798],,noPlanSynthesised,,49894
1,,[r3, r4, r5, r1],,[1, 2, 1, 134],,noPlanSynthesised,,50223
1,,[r3, r4, r5, r1],,[1, 2, 1, 482],,noPlanSynthesised,,50550
1,,[r3, r4, r5, r1],,[1, 2, 2, 1183],,noPlanSynthesised,,51798
1,,[r3, r4, r5, r1],,[1, 1, 2, 4866],,noPlanSynthesised,,52092
1,,[r3, r4, r5, r1],,[1, 1, 1, 1825],,noPlanSynthesised,,52410
1,,[r3, r4, r5, r1],,[1, 2, 1, 2002],,noPlanSynthesised,,52701
1,,[r3, r4, r5, r1],,[1, 1, 2, 3733],,noPlanSynthesised,,53058
1,,[r3, r4, r5, r1],,[1, 1, 1, 3093],,noPlanSynthesised,,53376
1,,[r3, r4, r5, r1],,[1, 2, 1, 2201],,noPlanSynthesised,,53612
1,,[r3, r4, r5, r1],,[1, 2, 2, 4891],,noPlanSynthesised,,53837
1,,[r3, r4, r5, r1],,[1, 1, 1, 1328],,noPlanSynthesised,,54159
1,,[r3, r4, r5, r1],,[1, 2, 2, 1846],,noPlanSynthesised,,54396
1,,[r3, r4, r5, r1],,[1, 2, 2, 3980],,noPlanSynthesised,,54541
1,,[r3, r4, r5, r1],,[1, 1, 2, 2218],,noPlanSynthesised,,54777
1,,[r3, r4, r5, r1],,[1, 2, 1, 546],,noPlanSynthesised,,55048
1,,[r3, r4, r5, r1],,[1, 1, 2, 1150],,noPlanSynthesised,,55315
1,,[r3, r4, r5, r1],,[1, 2, 1, 4505],,noPlanSynthesised,,55575
1,,[r3, r4, r5, r1],,[1, 1, 2, 4842],,noPlanSynthesised,,55847
1,,[r3, r4, r5, r1],,[1, 1, 2, 2698],,noPlanSynthesised,,56097
1,,[r3, r4, r5, r1],,[1, 2, 2, 3927],,noPlanSynthesised,,56607
1,,[r3, r4, r5, r1],,[1, 2, 1, 225],,noPlanSynthesised,,57685
1,,[r3, r4, r5, r1],,[1, 2, 1, 2954],,noPlanSynthesised,,57941
1,,[r3, r4, r5, r1],,[1, 1, 1, 2775],,noPlanSynthesised,,58297
1,,[r3, r4, r5, r1],,[1, 1, 2, 3204],,noPlanSynthesised,,58613
1,,[r3, r4, r5, r1],,[1, 1, 2, 4521],,noPlanSynthesised,,58813
1,,[r3, r4, r5, r1],,[1, 2, 1, 3169],,noPlanSynthesised,,59100
1,,[r3, r4, r5, r1],,[1, 1, 1, 3145],,noPlanSynthesised,,59450
1,,[r3, r4, r5, r1],,[1, 1, 2, 2803],,noPlanSynthesised,,59762
1,,[r3, r4, r5, r1],,[1, 2, 2, 2698],,noPlanSynthesised,,60039
1,,[r3, r4, r5, r1],,[1, 1, 1, 320],,noPlanSynthesised,,60428
1,,[r3, r4, r5, r1],,[1, 2, 1, 2580],,noPlanSynthesised,,60725
1,,[r3, r4, r5, r1],,[1, 2, 2, 413],,noPlanSynthesised,,62061
